Date, Title, PDF, PPT, Abst, TeX
2023.04.01,NLPに関する調査,B4/01-0401meeting/0401meeting.pdf,B4/01-0401meeting/0401meeting.pptx,,
2023.04.15,Transformer,BERTに関する調査,B4/02-0415meeting/0415meeting.pdf,B4/02-0415meeting/0415meeting.pptx,B4/02-0415meeting/0415meetingTeX.pdf
2023.05.13,論文調査：RoBERTa,B4/03-0513meeting/0513meeting.pdf,B4/03-0513meeting/0513meeting.pptx,,
2023.05.27,モデル評価，回帰問題における手法に関する調査,B4/04-0527meeting/0527meeting.pdf,B4/04-0527meeting/0527meeting.pptx,,
2023.06.10,データ，サンプルプログラムの調査,B4/05-0610meeting/0610meeting.pdf,B4/05-0610meeting/0610meeting.pptx,,
2023.07.01,進捗報告：環境構築,B4/06-0701meeting/0701meeting.pdf,B4/06-0701meeting/0701meeting.pptx,,
2023.07.15,論文調査：fastText,B4/07-0715meeting/0715meeting.pdf,,,
2023.08.05,進捗報告：reflectionの読みやすさ推定,B4/08-0805meeting/0805meeting.pdf,B4/08-0805meeting/0805meeting.pptx,,
2023.08.21,目標設定，現状報告,B4/09-0821meeting/0821meeting.pdf,B4/09-0821meeting/0821meeting.pptx,,
2023.09.02,文章からの成績推定モデルの制作状況,B4/10-0902meeting/0902meeting.pdf,B4/10-0902meeting/0902meeting.pptx,,
2023.09.18,中間発表：自由記述文からの学習行動分析,B4/11-0918intermediate/intermediate.pdf,B4/11-0918intermediate/intermediate.pptx,B4/11-0918intermediate/Abstract_B4_intermediate.pdf,
2023.09.23,中間発表の反省，今後の予定,B4/12-0923meeting/0923meeting.pdf,B4/12-0923meeting/0923meeting.pptx,,
2023.10.07,統合予測の実装，評価,B4/13-1007meeting/1007meeting.pdf,B4/13-1007meeting/1007meeting.pptx,,
2023.10.21,データセットの再調査，実験結果,B4/14-1021meeting/1021meeting.pdf,B4/14-1021meeting/1021meeting.pptx,,
2023.10.29,学会発表に向けての現状報告，スケジュールの共有,B4/15-1029meeting/1029meeting.pdf,B4/15-1029meeting/1029meeting.pptx,,
2023.11.04,学会発表に向けての現状報告，スケジュール,B4/16-1104meeting/1104meeting.pdf,B4/16-1104meeting/1104meeting.pptx,,
2023.11.21,進捗報告：入力文の正規化，データセット分割法変更,B4/17-1121meeting/1121meeting.pdf,B4/17-1121meeting/1121meeting.pptx,,
2023.11.22,現状報告：自由記述文からの学習行動分析,B4/18-1122meeting/1122meeting.pdf,B4/18-1122meeting/1122meeting.pptx,,
2023.12.03,LAK24 に向けた論文内容の共有,B4/19-1203meeting/1203meeting.pdf,B4/19-1203meeting/1203meeting.pptx,,
2023.12.23,中中間発表：自由記述文からの学習行動分析,B4/20-1223PreThesis/1223PreThesis.pdf,B4/20-1223PreThesis/1223PreThesis.pptx,B4/20-1223PreThesis/1223PreThesis_Abst.pdf,
2023.01.11,中中間発表の反省，卒論の進捗状況,B4/21-0111meeting/0111meeting.pdf,B4/21-0111meeting/0111meeting.pptx,,
2023.01.26,査読結果，学会の調査,B4/22-0126meeting/0126meeting.pdf,B4/22-0126meeting/0126meeting.pptx,,
2023.02.09,卒業論文：Transformerモデルによる自由記述文からの成績予測,B4/23-0209Graduation/0209Graduation.pdf,B4/23-0209Graduation/0209Graduation.pptx,B4/23-0209Graduation/Graduation_Abstract.pdf,B4/23-0209Graduation/Graduation_Thesis.pdf
